/IN_AMP X,/IN_AMP Y,/OUT_AMP X,/OUT_AMP Y
2.026398767182343e-10,-0.000930691438453111,2.026398767182343e-10,-0.002597174545380869
2.033399990490894e-10,-0.0008665964278693916,2.033399990490894e-10,-0.002894787958442991
2.039574117707499e-10,-0.0008100733415667172,2.039574117707499e-10,-0.003122576551287734
2.051922372140709e-10,-0.0006970271689613681,2.051922372140709e-10,-0.003469775659601703
2.076618881007128e-10,-0.0004709348237506703,2.076618881007128e-10,-0.00369384930978056
2.126011898739968e-10,-4.423970505657319e-06,2.126011898739968e-10,-0.002413804111032377
2.198971566189345e-10,0.0007618630434377586,2.198971566189345e-10,0.001417817372721488
2.211538461538e-10,0.0008938517030344,2.211538461538e-10,0.002093496460150299
2.213865814985086e-10,0.0008693471009614755,2.213865814985086e-10,0.002207112190170976
2.218083940104952e-10,0.000824934647113721,2.218083940104952e-10,0.002406804312447527
2.224465683736251e-10,0.0007577415491284508,2.224465683736251e-10,0.002683848830873957
2.230778939516592e-10,0.0006912695567133945,2.230778939516592e-10,0.002925623015890405
2.243405451077274e-10,0.0005583255718832821,2.243405451077274e-10,0.003301336387410773
2.268658474198638e-10,0.0002924376022230573,2.268658474198638e-10,0.003579577363552828
2.319164520441367e-10,-0.000188108399463035,2.319164520441367e-10,0.002388683409383955
2.340625686936954e-10,-0.0003182357950712147,2.340625686936954e-10,0.001300765385262613
2.362086853432542e-10,-0.0004483631906793944,2.362086853432542e-10,6.396601425984668e-05
2.403846153846e-10,-0.0007015660632418001,2.403846153846e-10,-0.002092969153594034
2.406828749857691e-10,-0.000670702174134137,2.406828749857691e-10,-0.002218169687015831
2.415548300599815e-10,-0.000580472305215011,2.415548300599815e-10,-0.002555165444502474
2.429585318446921e-10,-0.0004352173124042989,2.429585318446921e-10,-0.002965512875199827
2.441433545697801e-10,-0.0003126119141002052,2.441433545697801e-10,-0.00317317734309343
2.46513000019956e-10,-6.740111749201803e-05,2.46513000019956e-10,-0.00318487203262942
2.486125061205312e-10,0.0001498556722811437,2.486125061205312e-10,-0.002762178689673914
2.502483381176959e-10,0.0002972198919874205,2.502483381176959e-10,-0.002187346404486573
2.510239927174014e-10,0.0003090463253604418,2.510239927174014e-10,-0.001852976846150687
2.51701808776598e-10,0.0003193810110134307,2.51701808776598e-10,-0.00153555804850513
2.530574408949912e-10,0.0003400503823194085,2.530574408949912e-10,-0.0008521865021419566
2.543131356016527e-10,0.0003591960043408911,2.543131356016527e-10,-0.0001864898734595588
2.559189597369022e-10,0.0003836800622598745,2.559189597369022e-10,0.0006562553038419525
2.579352666214554e-10,0.0004144227653119587,2.579352666214554e-10,0.001610102066141155
2.596153846154e-10,0.0004400395843468,2.596153846154e-10,0.002237753344448437
2.601026824820002e-10,0.000398520904088666,2.601026824820002e-10,0.002379844642099772
2.608251544355152e-10,0.0003369649563010528,2.608251544355152e-10,0.00257018521808714
2.622691924038807e-10,0.0002139302483769955,2.622691924038807e-10,0.002823309207022504
2.6385886985401e-10,7.848678701739641e-05,2.6385886985401e-10,0.002897954997321631
2.670382247542684e-10,-0.0001924001357018018,2.670382247542684e-10,0.002442446445112965
2.692307692308e-10,-0.0003792089836616,2.692307692308e-10,0.001727600348243079
